model,split,accuracy,precision_greenwashing,recall_greenwashing,f1_greenwashing,macro_f1,weighted_f1,tn,fp,fn,tp,roc_auc,average_precision_pr_auc,brier_score
TF-IDF + Logistic Regression,validation,0.7096774193548387,0.6060606060606061,0.5882352941176471,0.5970149253731343,0.6850620845353066,0.7087306757079336,46,13,14,20,0.7811565304087738,0.7239189942106937,0.19890894126321573
TF-IDF + Logistic Regression,test,0.8064516129032258,0.7027027027027027,0.7878787878787878,0.7428571428571429,0.7938423645320197,0.8086445256634356,49,11,7,26,0.8590909090909091,0.7974603693748683,0.1762353111698235
TF-IDF + Calibrated Linear SVM,validation,0.7311827956989247,0.6956521739130435,0.47058823529411764,0.5614035087719298,0.6838025295797634,0.7167054921625143,52,7,18,16,0.7816550348953138,0.7154905375458274,0.1793773078952721
TF-IDF + Calibrated Linear SVM,test,0.8064516129032258,0.7777777777777778,0.6363636363636364,0.7,0.7785714285714285,0.8013824884792626,54,6,12,21,0.8702020202020202,0.8063518199379469,0.14511728557921247
TF-IDF + Multinomial Naive Bayes,validation,0.7096774193548387,0.6296296296296297,0.5,0.5573770491803278,0.6706885245901639,0.7011485986250661,49,10,17,17,0.7492522432701895,0.6834769654013663,0.1898468661159432
TF-IDF + Multinomial Naive Bayes,test,0.8172043010752689,0.8076923076923077,0.6363636363636364,0.711864406779661,0.7890030695315629,0.8113981651692117,55,5,12,21,0.8621212121212121,0.8119646699865701,0.13982011876655526
TF-IDF + Random Forest,validation,0.7096774193548387,0.6129032258064516,0.5588235294117647,0.5846153846153846,0.680737444373808,0.7065767077497283,47,12,15,19,0.7567298105682951,0.7188220150703133,0.1946172154206834
TF-IDF + Random Forest,test,0.8064516129032258,0.7027027027027027,0.7878787878787878,0.7428571428571429,0.7938423645320197,0.8086445256634356,49,11,7,26,0.8782828282828283,0.8022656094145412,0.16490299948621323
TF-IDF + XGBoost,validation,0.7096774193548387,0.6206896551724138,0.5294117647058824,0.5714285714285714,0.6759581881533101,0.7040575474879173,48,11,16,18,0.7283150548354935,0.716120009741389,0.19183762560107984
TF-IDF + XGBoost,test,0.7956989247311828,0.7333333333333333,0.6666666666666666,0.6984126984126984,0.7719705768486256,0.7933260899429272,52,8,11,22,0.8363636363636364,0.7261263264839511,0.15946078194962607
